"","ll_id","OCEAN","REGION","REGION_SUB","SI_LATI.x","SI_LONG.x","YEAR","DATE","SI_LONG_360","REGION_NEW","SI_LATI.y","SI_LONG.y","z","dist_km"
"159",159,"CARIB","PRICO","PRICO",18.2927929,-67.241485,2014,"9/6/2014",292.758515,"PRICO",18.3082599639893,-67.2630615234375,1.13,2.85741124914486
"160",160,"CARIB","PRICO","PRICO",18.104076,-67.936017,2014,"7/20/2014",292.063983,"PRICO",18.0999755859375,-67.9296569824219,1.15,0.813151839068347
"161",161,"CARIB","PRICO","PRICO",18.1009468,-67.942179,2014,"7/30/2014",292.057821,"PRICO",18.0999755859375,-67.9296569824219,1.15,1.32936650275661
"162",162,"CARIB","PRICO","PRICO",18.0905569,-67.942714,2014,"7/30/2014",292.057286,"PRICO",18.0999755859375,-67.9296569824219,1.15,1.73440773956254
"163",163,"CARIB","PRICO","PRICO",18.0887598,-67.944614,2014,"7/30/2014",292.055386,"PRICO",18.0999755859375,-67.9296569824219,1.15,2.01585592071741
"164",164,"CARIB","PRICO","PRICO",18.0792425,-67.939474,2014,"8/1/2014",292.060526,"PRICO",18.0999755859375,-67.9296569824219,1.15,2.5310023480465
"165",165,"CARIB","PRICO","PRICO",18.0787932,-67.939949,2014,"8/1/2014",292.060051,"PRICO",18.0583171844482,-67.9296569824219,1.14,2.52624916870162
"166",166,"CARIB","PRICO","PRICO",18.0756819,-67.949417,2014,"8/1/2014",292.050583,"PRICO",18.0583171844482,-67.9296569824219,1.14,2.8477722906588
"167",167,"CARIB","PRICO","PRICO",18.0752017,-67.944223,2014,"7/30/2014",292.055777,"PRICO",18.0583171844482,-67.9296569824219,1.14,2.43087173386418
"168",168,"CARIB","PRICO","PRICO",18.071019,-67.845038,2014,"7/31/2014",292.154962,"PRICO",18.0583171844482,-67.8463287353516,1.15,1.4205427855814
"169",169,"CARIB","PRICO","PRICO",18.0679012,-67.852617,2014,"7/31/2014",292.147383,"PRICO",18.0583171844482,-67.8463287353516,1.15,1.25743747223257
"170",170,"CARIB","PRICO","PRICO",18.0587675,-67.914088,2014,"7/31/2014",292.085912,"PRICO",18.0583171844482,-67.9296569824219,1.14,1.64851998374105
"171",171,"CARIB","PRICO","PRICO",18.058289,-67.909366,2014,"7/31/2014",292.090634,"PRICO",18.0583171844482,-67.9296569824219,1.14,2.14752008439635
"172",172,"CARIB","PRICO","PRICO",18.0566639,-67.86261,2014,"7/31/2014",292.13739,"PRICO",18.0583171844482,-67.8463287353516,1.15,1.73295354806015
"173",173,"CARIB","PRICO","PRICO",18.0544158,-67.864514,2014,"7/31/2014",292.135486,"PRICO",18.0583171844482,-67.8463287353516,1.15,1.97306929404267
"174",174,"CARIB","PRICO","PRICO",18.0519525,-67.907516,2014,"7/30/2014",292.092484,"PRICO",18.0583171844482,-67.9296569824219,1.14,2.44812421871347
"175",175,"CARIB","PRICO","PRICO",18.0500347,-67.888161,2014,"7/31/2014",292.111839,"PRICO",18.0166606903076,-67.8879928588867,1.13,3.71522039577082
"176",176,"CARIB","PRICO","PRICO",18.2013148,-65.509519,2014,"8/29/2014",294.490481,"PRICO",18.1832885742188,-65.5132675170898,1.25,2.04545304026793
"177",177,"CARIB","PRICO","PRICO",18.1905747,-65.514454,2014,"8/29/2014",294.485546,"PRICO",18.1832885742188,-65.5132675170898,1.25,0.820736731759213
"178",178,"CARIB","PRICO","PRICO",18.1844959,-65.502773,2014,"8/25/2014",294.497227,"PRICO",18.1832885742188,-65.5132675170898,1.25,1.11800959065176
"179",179,"CARIB","PRICO","PRICO",18.1799285,-65.52458,2014,"8/29/2014",294.47542,"PRICO",18.1832885742188,-65.5132675170898,1.25,1.25353182052736
"180",180,"CARIB","PRICO","PRICO",18.1759967,-65.531739,2014,"8/29/2014",294.468261,"PRICO",18.1832885742188,-65.5132675170898,1.25,2.11552234260143
"181",181,"CARIB","PRICO","PRICO",18.1740705,-65.451055,2014,"8/25/2014",294.548945,"PRICO",18.1832885742188,-65.4716033935547,1.23,2.40334650872348
"182",182,"CARIB","PRICO","PRICO",18.173872,-65.464748,2014,"8/25/2014",294.535252,"PRICO",18.1832885742188,-65.4716033935547,1.23,1.27456716434262
"183",183,"CARIB","PRICO","PRICO",18.1634535,-65.487143,2014,"8/25/2014",294.512857,"PRICO",18.1832885742188,-65.4716033935547,1.23,2.75258467354059
"184",184,"CARIB","PRICO","PRICO",18.1592768,-65.35979,2014,"9/19/2014",294.64021,"PRICO",18.1832885742188,-65.3466186523438,1.19,3.01422537888582
"185",185,"CARIB","PRICO","PRICO",18.1593661,-65.364508,2014,"9/19/2014",294.635492,"PRICO",18.1832885742188,-65.3466186523438,1.19,3.26678364630484
"186",186,"CARIB","PRICO","PRICO",18.1620568,-65.661833,2014,"8/28/2014",294.338167,"PRICO",18.1416320800781,-65.6799163818359,1.23,2.97129232869031
"187",187,"CARIB","PRICO","PRICO",18.15262,-65.294801,2014,"9/19/2014",294.705199,"PRICO",18.1416320800781,-65.3049545288086,1.19,1.6278082960419
"188",188,"CARIB","PRICO","PRICO",18.1481648,-65.297727,2014,"9/19/2014",294.702273,"PRICO",18.1416320800781,-65.3049545288086,1.19,1.05517417366625
"189",189,"CARIB","PRICO","PRICO",18.1377511,-65.488129,2014,"8/25/2014",294.511871,"PRICO",18.1416320800781,-65.4716033935547,1.23,1.80078565320983
