Information and diagnostics 
=========================== 
Total iter:                       130000 
Burn-in:                          50009 
Thin:                             10 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        2172 


Model summary 
============= 
                mean     sd    2.5%     50%   97.5% Rhat n.eff
psi[187]       0.580  0.236   0.157   0.573   0.985 1.00  5131
psi[188]       0.556  0.220   0.190   0.533   0.980 1.00  5189
psi[189]       0.467  0.221   0.140   0.428   0.964 1.00  6995
psi[190]       0.541  0.229   0.165   0.517   0.980 1.00  4898
psi[191]       0.559  0.223   0.187   0.536   0.981 1.00  5053
psi[192]       0.598  0.212   0.226   0.585   0.984 1.00  5232
psi[193]       0.486  0.222   0.147   0.450   0.968 1.00  6087
psi[194]       0.554  0.227   0.175   0.532   0.982 1.00  4905
psi[195]       0.548  0.224   0.178   0.523   0.980 1.00  5000
psi[196]       0.633  0.250   0.161   0.650   0.994 1.00  5361
psi[197]       0.670  0.235   0.202   0.695   0.995 1.00  5240
psi[198]       0.643  0.246   0.173   0.662   0.994 1.00  5470
psi[199]       0.577  0.267   0.109   0.577   0.992 1.00  5185
psi[200]       0.660  0.240   0.188   0.686   0.995 1.00  5392
psi[201]       0.614  0.256   0.143   0.625   0.994 1.00  5544
psi[202]       0.532  0.274   0.087   0.514   0.989 1.00  5243
psi[203]       0.556  0.267   0.108   0.544   0.990 1.00  4943
psi[204]       0.657  0.241   0.185   0.682   0.995 1.00  5375
psi[205]       0.625  0.250   0.160   0.640   0.994 1.00  5500
psi[206]       0.616  0.257   0.142   0.631   0.994 1.00  5588
psi[207]       0.530  0.274   0.085   0.512   0.989 1.00  5238
psi[208]       0.509  0.273   0.085   0.477   0.987 1.00  4867
psi[209]       0.617  0.253   0.151   0.628   0.993 1.00  5471
psi[210]       0.633  0.248   0.165   0.650   0.994 1.00  5546
psi[211]       0.637  0.251   0.157   0.659   0.994 1.00  5691
psi[212]       0.518  0.274   0.086   0.492   0.988 1.00  5074
psi[213]       0.505  0.277   0.074   0.479   0.988 1.00  5315
psi[214]       0.590  0.256   0.141   0.590   0.992 1.00  5541
psi[215]       0.553  0.269   0.102   0.541   0.990 1.00  5119
psi[216]       0.513  0.271   0.085   0.487   0.987 1.00  5232
psi[217]       0.624  0.255   0.145   0.642   0.994 1.00  5738
psi[218]       0.500  0.276   0.076   0.467   0.986 1.00  5123
psi[219]       0.584  0.261   0.120   0.587   0.992 1.00  5294
psi[220]       0.569  0.263   0.113   0.566   0.991 1.00  5325
psi[221]       0.645  0.245   0.171   0.669   0.995 1.00  5619
psi[222]       0.623  0.253   0.153   0.637   0.994 1.00  5639
psi[223]       0.647  0.245   0.164   0.672   0.994 1.00  5580
psi[224]       0.749  0.235   0.191   0.824   0.998 1.00  5656
psi[225]       0.723  0.217   0.251   0.765   0.997 1.00  5781
psi[226]       0.628  0.251   0.157   0.644   0.994 1.00  5622
psi[227]       0.491  0.278   0.073   0.455   0.986 1.00  5160
psi[228]       0.626  0.253   0.146   0.645   0.994 1.00  5420
psi[229]       0.658  0.243   0.182   0.683   0.995 1.00  5664
psi[230]       0.625  0.251   0.156   0.639   0.994 1.00  5612
psi[231]       0.581  0.264   0.117   0.584   0.991 1.00  5424
psi[232]       0.671  0.241   0.181   0.707   0.995 1.00  5705
psi[233]       0.762  0.203   0.291   0.814   0.998 1.00  5532
psi[234]       0.666  0.238   0.192   0.693   0.995 1.00  5623
psi[235]       0.543  0.271   0.095   0.530   0.989 1.00  5392
psi[236]       0.661  0.243   0.176   0.692   0.995 1.00  5655
psi[237]       0.683  0.237   0.191   0.722   0.995 1.00  5734
psi[238]       0.569  0.264   0.114   0.566   0.990 1.00  5363
psi[239]       0.648  0.247   0.166   0.673   0.994 1.00  5542
psi[240]       0.607  0.256   0.138   0.616   0.993 1.00  5395
psi[241]       0.534  0.275   0.083   0.520   0.989 1.00  5464
psi[242]       0.609  0.288   0.087   0.637   0.996 1.00  6224
psi[243]       0.660  0.274   0.114   0.713   0.998 1.00  6565
psi[244]       0.669  0.271   0.122   0.722   0.998 1.00  6546
psi[245]       0.677  0.264   0.134   0.732   0.998 1.00  6750
psi[246]       0.613  0.337   0.024   0.694   0.999 1.00  6323
psi[247]       0.522  0.307   0.050   0.504   0.994 1.00  6033
psi[248]       0.542  0.304   0.057   0.535   0.995 1.00  6090
psi[249]       0.587  0.295   0.070   0.606   0.996 1.00  6406
psi[250]       0.524  0.313   0.042   0.507   0.995 1.00  6057
psi[251]       0.410  0.294   0.022   0.344   0.977 1.00  8302
psi[252]       0.488  0.316   0.033   0.450   0.994 1.00  5911
psi[253]       0.485  0.290   0.045   0.455   0.986 1.00  6965
psi[254]       0.428  0.315   0.024   0.351   0.990 1.00  5593
psi[255]       0.435  0.318   0.024   0.363   0.991 1.00  5369
psi[256]       0.531  0.307   0.050   0.520   0.995 1.00  5760
psi[257]       0.449  0.293   0.036   0.400   0.985 1.00  6815
psi[258]       0.528  0.307   0.049   0.514   0.994 1.00  5796
psi[259]       0.526  0.276   0.066   0.515   0.987 1.00  8060
psi[260]       0.421  0.283   0.032   0.365   0.978 1.00  8215
psi[261]       0.459  0.280   0.048   0.418   0.982 1.00  7112
psi[262]       0.439  0.280   0.043   0.390   0.980 1.00  7069
psi[263]       0.671  0.248   0.165   0.716   0.995 1.00  5332
psi[264]       0.652  0.249   0.164   0.686   0.994 1.00  5191
psi[265]       0.694  0.234   0.204   0.739   0.996 1.00  5143
psi[266]       0.783  0.194   0.319   0.839   0.998 1.00  5357
psi[267]       0.720  0.224   0.232   0.771   0.996 1.00  5275
psi[268]       0.827  0.169   0.394   0.882   0.998 1.00  5451
psi[269]       0.709  0.226   0.226   0.752   0.996 1.00  4968
psi[270]       0.748  0.210   0.272   0.800   0.997 1.00  5085
psi[271]       0.763  0.202   0.297   0.814   0.997 1.00  4992
psi[272]       0.778  0.195   0.317   0.831   0.998 1.00  4969
psi[273]       0.736  0.215   0.258   0.785   0.997 1.00  4927
psi[274]       0.777  0.195   0.317   0.830   0.998 1.00  4922
psi[275]       0.785  0.193   0.324   0.840   0.998 1.00  4383
psi[276]       0.864  0.142   0.483   0.913   0.999 1.00  4623
psi[277]       0.848  0.154   0.447   0.900   0.999 1.00  4564
psi[278]       0.846  0.155   0.443   0.898   0.999 1.00  4618
psi[279]       0.882  0.165   0.384   0.954   1.000 1.00  5677
psi[280]       0.869  0.176   0.346   0.947   1.000 1.00  5673
psi[281]       0.883  0.164   0.387   0.955   1.000 1.00  5748
psi[282]       0.791  0.189   0.332   0.846   0.998 1.00  4417
psi[283]       0.770  0.199   0.304   0.823   0.998 1.00  4455
psi[284]       0.776  0.197   0.313   0.830   0.998 1.00  4261
psi[285]       0.770  0.199   0.307   0.822   0.998 1.00  4471
psi[286]       0.725  0.220   0.245   0.772   0.997 1.00  4483
psi[287]       0.827  0.166   0.408   0.879   0.998 1.00  4586
psi[288]       0.750  0.208   0.280   0.801   0.997 1.00  4488
psi[289]       0.848  0.152   0.453   0.898   0.999 1.00  4622
psi[290]       0.876  0.136   0.502   0.926   0.999 1.00  4945
psi[291]       0.789  0.188   0.338   0.842   0.998 1.00  4535
psi[292]       0.880  0.129   0.527   0.926   0.999 1.00  4992
psi[293]       0.724  0.221   0.240   0.771   0.997 1.00  4470
psi[294]       0.813  0.174   0.379   0.866   0.998 1.00  4585
psi[295]       0.880  0.129   0.528   0.926   0.999 1.00  4954
psi[296]       0.725  0.221   0.241   0.773   0.997 1.00  4523
psi[297]       0.809  0.177   0.370   0.863   0.998 1.00  4487
psi[298]       0.977  0.038   0.866   0.991   1.000 1.00  6027
psi[299]       0.787  0.192   0.326   0.842   0.998 1.00  4420
psi[300]       0.916  0.108   0.601   0.959   1.000 1.00  6139
psi[301]       0.775  0.215   0.248   0.846   0.998 1.00  6142
psi[302]       0.837  0.168   0.394   0.896   0.999 1.00  4238
psi[303]       0.886  0.131   0.517   0.935   0.999 1.00  4445
psi[304]       0.891  0.126   0.535   0.939   0.999 1.00  4512
psi[305]       0.902  0.120   0.555   0.949   0.999 1.00  6026
psi[306]       0.804  0.200   0.291   0.875   0.998 1.00  5859
psi[307]       0.755  0.226   0.218   0.827   0.998 1.00  5775
psi[308]       0.810  0.185   0.338   0.870   0.999 1.00  4191
psi[309]       0.846  0.162   0.413   0.904   0.999 1.00  4335
psi[310]       0.825  0.172   0.383   0.882   0.999 1.00  4778
psi[311]       0.901  0.148   0.444   0.964   1.000 1.00  5951
psi[312]       0.877  0.141   0.483   0.930   0.999 1.00  5844
psi[313]       0.901  0.134   0.500   0.955   1.000 1.00  5818
psi[314]       0.760  0.214   0.255   0.821   0.998 1.00  4220
psi[315]       0.832  0.169   0.391   0.889   0.999 1.00  4374
psi[316]       0.827  0.171   0.386   0.884   0.999 1.00  4474
